frame,track_id,class_name,confidence,x1,y1,x2,y2,pixel_speed_px_per_frame
53,9,bus,0.4591,245,104,361,202,1.768
53,5,bus,0.6124,0,338,527,1067,1.458
53,21,person,0.4228,1453,188,1483,267,0.354
53,28,truck,0.5212,0,339,525,1066,1.0
54,1,bus,0.9235,1488,233,1847,851,2.795
54,2,car,0.6071,457,160,529,246,0.0
54,3,car,0.6972,488,132,552,178,0.25
54,6,car,0.5516,625,126,705,188,0.0
54,7,bus,0.6148,385,97,476,178,0.0
54,9,bus,0.4415,241,103,359,201,1.768
54,21,person,0.4296,1453,188,1483,266,0.25
55,1,bus,0.92,1488,236,1848,857,2.915
55,2,car,0.6331,457,160,529,246,0.0
55,3,car,0.697,488,132,552,178,0.25
55,6,car,0.5438,625,126,705,189,0.354
55,7,bus,0.612,385,97,477,178,0.25
55,9,bus,0.5143,239,106,357,203,1.768
55,21,person,0.3749,1453,188,1483,266,0.25
55,5,truck,0.6246,0,333,529,1066,1.342
56,1,bus,0.9382,1487,237,1850,863,3.25
56,2,car,0.6182,457,160,529,246,0.0
56,3,car,0.706,488,133,552,179,0.0
56,6,car,0.5354,625,126,705,189,0.0
56,7,bus,0.6283,385,97,476,178,0.0
56,9,bus,0.5097,237,104,358,202,1.75
56,21,person,0.4285,1453,188,1483,268,0.791
56,5,bus,0.6753,0,330,532,1067,1.789
56,4,truck,0.2818,1079,30,1166,142,0.166
57,1,bus,0.9311,1488,238,1853,869,3.25
57,2,car,0.6168,457,160,529,246,0.0
57,3,car,0.6959,488,133,552,179,0.25
57,6,car,0.5336,624,126,704,188,0.25
57,7,bus,0.6249,385,97,476,178,0.0
57,9,bus,0.3897,233,104,356,202,2.25
57,21,person,0.3498,1453,188,1483,268,0.25
57,5,bus,0.7465,0,327,534,1066,1.72
58,1,bus,0.9254,1487,240,1855,877,4.123
58,2,car,0.626,457,160,529,245,0.25
58,3,car,0.6665,488,133,552,179,0.25
58,6,car,0.4914,624,126,704,189,0.25
58,7,bus,0.6096,385,97,476,177,0.0
58,9,bus,0.4181,232,103,356,200,1.521
58,21,person,0.3186,1454,189,1483,266,0.0
58,5,bus,0.7872,0,325,536,1067,1.562
58,4,truck,0.2809,1079,30,1166,143,0.16
59,1,bus,0.9218,1487,241,1858,884,4.123
59,2,car,0.6544,457,159,529,245,0.25
59,3,car,0.6712,488,133,552,179,0.25
59,6,car,0.5065,624,125,705,188,0.354
59,7,bus,0.6512,385,97,477,178,0.0
59,9,bus,0.411,232,105,354,199,1.346
59,21,person,0.4356,1454,188,1484,267,0.25
59,5,bus,0.7758,0,323,536,1065,1.601
59,4,truck,0.3079,1079,29,1166,142,0.113
60,1,bus,0.9167,1486,240,1859,889,3.64
60,2,car,0.6468,458,159,530,245,0.354
60,3,car,0.6603,489,133,553,179,0.25
60,6,car,0.5196,624,126,704,188,0.25
60,7,bus,0.6567,385,97,477,178,0.25
60,9,bus,0.4393,226,104,351,199,2.305
60,21,person,0.3714,1454,188,1484,267,0.354
60,5,bus,0.8834,0,321,537,1066,1.346
60,4,truck,0.2943,1079,29,1166,142,0.172
61,1,bus,0.9338,1486,242,1860,892,3.579
61,2,car,0.6527,458,159,530,244,0.559
61,3,car,0.6726,489,133,553,179,0.25
61,6,car,0.52,625,126,705,188,0.25
61,7,bus,0.643,386,97,478,178,0.5
61,9,bus,0.5539,222,104,349,199,2.305
61,21,person,0.38,1454,188,1484,268,0.25
61,5,bus,0.7016,0,317,539,1067,1.118
61,4,truck,0.2978,1079,30,1165,143,0.0
62,1,bus,0.9319,1488,244,1863,896,3.162
62,2,car,0.657,458,159,530,245,0.25
62,3,car,0.6538,490,133,553,179,0.25
62,6,car,0.4402,625,127,704,189,0.25
62,7,bus,0.689,385,97,477,178,0.25
62,9,bus,0.5447,218,103,346,198,3.01
62,21,person,0.374,1453,189,1483,268,0.25
62,5,bus,0.8755,0,315,541,1066,1.581
62,4,truck,0.2971,1079,30,1165,143,0.0
63,1,bus,0.9187,1490,244,1867,900,2.915
63,2,car,0.6336,458,159,530,244,0.354
63,3,car,0.6752,489,132,553,178,0.354
63,6,car,0.4327,625,127,704,189,0.5
63,7,bus,0.6493,385,97,477,178,0.0
63,9,bus,0.3555,215,102,343,196,3.579
63,21,person,0.3329,1453,189,1483,268,0.354
63,5,bus,0.7583,0,313,541,1067,1.118
